,tickerlist,invest_grades,timestamps,past_price,current_price
1045,DXPE,,,,
1046,DXYN,,,,
1047,DYAI,,,,
1048,DYN,,,,
1049,DYNT,,,,
1050,DZSI,,,,
1051,EA,,,,
1052,EAR,,,,
1053,EARS,,,,
1054,EAST,,,,
1055,EBAY,,,,
1056,EBAYL,,,,
1057,EBC,,,,
1058,EBIX,,,,
1059,EBIZ,,,,
1060,EBMT,,,,
1061,EBON,,,,
1062,EBSB,,,,
1063,EBTC,,,,
1064,ECHO,,,,
1065,ECOL,,,,
1066,ECOLW,,,,
1067,ECOR,,,,
1068,ECOW,,,,
1069,ECPG,,,,
1070,EDAP,,,,
1071,EDIT,,,,
1072,EDOC,,,,
1073,EDRY,,,,
1074,EDSA,,,,
1075,EDTK,,,,
1076,EDUC,,,,
1077,EDUT,,,,
1078,EEFT,,,,
1079,EEMA,,,,
1080,EFAS,,,,
1081,EFOI,,,,
1082,EFSC,,,,
1083,EGAN,,,,
1084,EGBN,,,,
1085,EGLE,,,,
1086,EGOV,,,,
1087,EGRX,,,,
1088,EH,,,,
1089,EHTH,,,,
1090,EIDX,,,,
1091,EIGI,,,,
1092,EIGR,,,,
1093,EKSO,,,,
1094,ELOX,,,,
1095,ELSE,,,,
1096,ELTK,,,,
1097,ELYS,,,,
1098,EMB,,,,
1099,EMCB,,,,
1100,EMCF,,,,
1101,EMIF,,,,
1102,EMKR,,,,
1103,EML,,,,
1104,EMXC,,,,
1105,EMXF,,,,
1106,ENDP,,,,
1107,ENG,,,,
1108,ENLV,,,,
1109,ENOB,,,,
1110,ENPH,,,,
1111,ENSG,,,,
1112,ENTA,,,,
1113,ENTG,,,,
1114,ENTX,,,,
1115,ENTXW,,,,
1116,ENZL,,,,
1117,EOLS,,,,
1118,EOSE,,,,
1119,EOSEW,,,,
1120,EPAY,,,,
1121,EPIX,,,,
1122,EPSN,,,,
1123,EPZM,,,,
1124,EQ,,,,
1125,EQBK,,,,
1126,EQIX,,,,
1127,EQOS,,,,
1128,EQOSW,,,,
1129,EQRR,,,,
1130,ERES,,,,
1131,ERESU,,,,
1132,ERESW,,,,
1133,ERIC,,,,
1134,ERIE,,,,
1135,ERII,,,,
1136,ERYP,,,,
1137,ESBK,,,,
1138,ESCA,,,,
1139,ESEA,,,,
1140,ESGD,,,,
1141,ESGE,,,,
1142,ESGR,,,,
1143,ESGRO,,,,
1144,ESGRP,,,,
1145,ESGU,,,,
1146,ESLT,,,,
1147,ESPO,,,,
1148,ESPR,,,,
1149,ESQ,,,,
1150,ESSA,,,,
1151,ESSC,,,,
1152,ESSCR,,,,
1153,ESSCU,,,,
1154,ESSCW,,,,
1155,ESTA,,,,
1156,ESXB,,,,
1157,ETAC,,,,
1158,ETACU,,,,
1159,ETACW,,,,
1160,ETNB,,,,
1161,ETON,,,,
1162,ETSY,,,,
1163,ETTX,,,,
1164,EUCRU,,,,
1165,EUFN,,,,
1166,EVBG,,,,
1167,EVER,,,,
1168,EVFM,,,,
1169,EVGBC,,,,
1170,EVGN,,,,
1171,EVK,,,,
1172,EVLMC,,,,
1173,EVLO,,,,
1174,EVOK,,,,
1175,EVOL,,,,
1176,EVOP,,,,
1177,EVSTC,,,,
1178,EWBC,,,,
1179,EWEB,,,,
1180,EWJE,,,,
1181,EWJV,,,,
1182,EWZS,,,,
1183,EXAS,,,,
1184,EXC,,,,
1185,EXEL,,,,
1186,EXFO,,,,
1187,EXLS,,,,
1188,EXPC,,,,
1189,EXPCU,,,,
1190,EXPCW,,,,
1191,EXPD,,,,
1192,EXPE,,,,
1193,EXPI,,,,
1194,EXPO,,,,
1195,EXTR,,,,
1196,EYE,,,,
1197,EYEG,,,,
1198,EYEN,,,,
1199,EYES,,,,
1200,EYESW,,,,
1201,EYPT,,,,
1202,EZPW,,,,
1203,FAAR,,,,
1204,FAB,,,,
1205,FAD,,,,
1206,FALN,,,,
1207,FAMI,,,,
1208,FANG,,,,
1209,FANH,,,,
1210,FARM,,,,
1211,FARO,,,,
1212,FAST,,,,
1213,FAT,,,,
1214,FATBP,,,,
1215,FATBW,,,,
1216,FATE,,,,
1217,FB,,,,
1218,FBIO,,,,
1219,FBIOP,,,,
1220,FBIZ,,,,
1221,FBMS,,,,
1222,FBNC,,,,
1223,FBRX,,,,
1224,FBSS,,,,
1225,FBZ,,,,
1226,FCA,,,,
1227,FCACU,,,,
1228,FCAL,,,,
1229,FCAP,,,,
1230,FCBC,,,,
1231,FCBP,,,,
1232,FCCO,,,,
1233,FCCY,,,,
1234,FCEF,,,,
1235,FCEL,,,,
1236,FCFS,,,,
1237,FCNCA,,,,
1238,FCNCP,,,,
1239,FCRD,,,,
1240,FCVT,,,,
1241,FDBC,,,,
1242,FDIV,,,,
1243,FDNI,,,,
1244,FDT,,,,
1245,FDTS,,,,
1246,FDUS,,,,
1247,FDUSG,,,,
1248,FDUSL,,,,
1249,FDUSZ,,,,
